Compound_Name,File_Name,Pose_Number,Affinity,CNNaffinity,CNNvariance,Intramolecular_energy,SMILES
 ZINC000046027679,IHAAMM.xaa_ligand_0057_docked.pdbqt,2.0,-5.54365,5.71909,0.18163,-0.87884,C1(=C([C]=C([C]=[C]1)c1nn(c(=O)c2[C][C][C][C]c12)[C])S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)F)[C][C]	
 ZINC000046027658,IHAAMM.xaa_ligand_0058_docked.pdbqt,4.0,-5.67736,5.8126,0.10944,-0.42126,C1(=C([C]=C([C]=[C]1)c1nn(c(=O)c2[C][C][C][C]c12)[C])S(=O)(=O)[N]C1=C([C]=[C][C]=[C]1)[C])[C][C]	
 ZINC000023143957,IHAAMM.xaa_ligand_0059_docked.pdbqt,3.0,-5.42643,5.43703,0.4169,-0.93403,n1(c(=O)c2[C]=C([C]=[C]c2nc1[C])[N]S(=O)(=O)C1=[C][C]=C([C]=[C]1)F)C1=[C][C]=C([C]=[C]1)O[C]	
 ZINC000046053555,IHAAMM.xaa_ligand_0060_docked.pdbqt,3.0,-5.37699,5.02465,0.10463,-1.11724,C1(=[C]C(=[C][C]=C1N1[C][C][C]([C][C]1)[C][C]N1[C][C]O[C][C]1)NC(=O)C1=[C][C]=[C][C]=[C]1)C(=O)[O]	
 ZINC000046053554,IHAAMM.xaa_ligand_0061_docked.pdbqt,3.0,-4.89336,4.91181,0.1576,-0.98098,C1(=[C]C(=[C][C]=C1N1[C][C][C]([C][C]1)[C][C]N1[C][C]O[C][C]1)NC(=O)C1=[C][C]=[C]S1)C(=O)[O]	
 ZINC000010782280,IHAAMM.xaa_ligand_0062_docked.pdbqt,7.0,-4.94039,5.71787,0.11527,-1.85872,C(=O)(N1[C][C][C]([C][C]1)NC(=O)C1=[C][C]=[C][C]=[C]1)[C][C]N1C(=N[N]C1=S)C1=[C]C(=[C][C]=[C]1)[C]	
 ZINC000023146260,IHAAMM.xaa_ligand_0063_docked.pdbqt,3.0,-5.90051,5.21596,0.11887,-0.93134,C1(=[C][C]=C([C]=[C]1)[N]S(=O)(=O)C1=[C]C(=C([C]=[C]1)F)F)NC(=O)[C][C]c1c([C])noc1[C]	
 ZINC000046053952,IHAAMM.xaa_ligand_0064_docked.pdbqt,7.0,-6.19598,5.74737,0.20681,-0.14166,C1(=[C]C2=C([C]=[C]1)NC(=O)C2=C1[C][C][C][C]1)S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)C(=O)O[C][C]	
 ZINC000046054011,IHAAMM.xaa_ligand_0065_docked.pdbqt,1.0,-6.23068,5.37896,0.23626,-0.51783,C1(=[C]C2=C([C]=[C]1)N(C(=O)C2=C1[C][C][C][C]1)[C])S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])O[C]	
 ZINC000025423977,IHAAMM.xaa_ligand_0066_docked.pdbqt,8.0,-5.46858,5.30647,0.06515,-1.65925,C1(=C([C]=[C][C]=[C]1)C(=O)NC1=[C][C]=C([C]=[C]1)F)NS(=O)(=O)C1=[C][C]=C([C]=[C]1)/[C]=[C]/C(=O)[O]	
 ZINC000046057068,IHAAMM.xaa_ligand_0067_docked.pdbqt,7.0,-4.93359,5.34047,0.16419,-0.83743,[C]c1nn(c2NC(=O)[C][C](c12)C(=O)C1=[C][C]=C([C]=[C]1)[O])C1=[C][C]=C([C]=[C]1)Br	
 ZINC000046057071,IHAAMM.xaa_ligand_0068_docked.pdbqt,2.0,-5.74702,5.23988,0.04694,-0.42024,[C]c1nn(c2NC(=O)[C][C](c12)C(=O)C1=[C][C]=C([C]=[C]1)[O])C1=[C][C]=C([C]=[C]1)Br	
 ZINC000023156931,IHAAMM.xaa_ligand_0069_docked.pdbqt,4.0,-4.6659,5.22012,0.03565,-0.65942,[C]([C]1C(=O)n2nc(nc2S1)[C])(C1=[C][C]=C([C]=[C]1)Cl)N1[C][C][C]([C][C]1)C(=O)O[C][C]	
 ZINC000023156933,IHAAMM.xaa_ligand_0070_docked.pdbqt,5.0,-4.54056,5.34047,0.0639,-0.57111,[C]([C]1C(=O)n2nc(nc2S1)[C])(C1=[C][C]=C([C]=[C]1)Cl)N1[C][C][C]([C][C]1)C(=O)O[C][C]	
 ZINC000023157715,IHAAMM.xaa_ligand_0071_docked.pdbqt,1.0,-6.14063,5.6516,0.00455,0.46725,[C]([C]1C(=O)n2nc(nc2S1)[C])(C1=[C][C]=[C]C(=[C]1)Cl)N1[C][C][C]([C][C]1)C(=O)O[C][C]	
 ZINC000046074548,IHAAMM.xaa_ligand_0072_docked.pdbqt,7.0,-5.40091,5.56857,0.097,-0.94175,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=C([C]=[C][C]=[C]1)Cl	
 ZINC000023157718,IHAAMM.xaa_ligand_0073_docked.pdbqt,9.0,-5.18057,5.5363,0.09589,0.32733,[C]([C]1C(=O)n2nc(nc2S1)[C])(C1=[C][C]=[C]C(=[C]1)Cl)N1[C][C][C]([C][C]1)C(=O)O[C][C]	
